SystemDate,AccountNumber,OfficeRR,Currency,SecurityType,Symbol,CUSIP,Sedol,SecurityDescription,ClosingPrice,factor,Rate,TradeQuantity,SettleQuantity,TradeMarketValue,SettleMarketValue,TodayUnrealizedPL,TodayRealizedPL,TodayCouponInterest,TodayFundingInterest,TodayTotalPL,MTDUnrealizedPL,MTDRealizedPL,MTDCouponInterest,MTDFundingInterest,MTDTotalPL,YTDUnrealizedPL,YTDRealizedPL,YTDCouponInterest,YTDFundingInterest,YTDTotalPL
08/21/2023,66TX0020,TX24,USD,Corporate Bonds,,144523AC1,,CARRINGTON HLDG COMPANY LLC 8.000% 01/01/26 RULE 144A,0.000000000000000,0.000000000000000,0.000000000000000,0.00000,0.00000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,444.4444,0.0000,444.4444
08/21/2023,66TX0025,TX23,USD,Corporate Bonds,,35640YAA5,BF57XM3,FREEDOM MORTGAGE CORPORATION 8.125% 11/15/24 RULE 144A,0.000000000000000,0.000000000000000,0.000000000000000,0.00000,0.00000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,495.6250,0.0000,495.6250
08/21/2023,66TX0025,TX23,USD,Corporate Bonds,,35640YAB3,BF0YND0,FREEDOM MORTGAGE CORPORATION 8.250% 04/15/25 RULE 144A,0.000000000000000,0.000000000000000,0.000000000000000,0.00000,0.00000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3025.0001,0.0000,3025.0001
08/21/2023,66TX0025,TX23,USD,Corporate Bonds,,878155AE0,BFZ2JD1,TEAM INC 5.000% 08/01/23,0.000000000000000,0.000000000000000,0.000000000000000,0.00000,0.00000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,415.3472,0.0000,415.3472
08/21/2023,66TX0025,TX23,USD,Corporate Bonds,,88947EAN0,B9GWFM9,TOLL BROS FIN CORP 4.375% 04/15/23,0.000000000000000,0.000000000000000,0.000000000000000,0.00000,0.00000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98.4375,0.0000,98.4375
08/21/2023,66TX0028,TX24,USD,Corporate Bonds,,62913TAJ1,,NGL ENERGY PARTNERS LP 7.500% 11/01/23 DO NOT USE,0.000000000000000,0.000000000000000,0.000000000000000,0.00000,0.00000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.0833,0.0000,52.0833
08/21/2023,66TX0040,TX26,USD,Corporate Bonds,,045054AR4,BM8K146,ASHTEAD CAP INC SR 144A NT 33 RULE 144A,0.000000000000000,0.000000000000000,0.000000000000000,0.00000,0.00000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-165.2778,0.0000,-165.2778,0.0000,0.0000,-661.1112,0.0000,-661.1112
08/21/2023,66TX0040,TX26,USD,Corporate Bonds,,716973AG7,BQ66T84,PFIZER INVT ENTERPRISES 0.000% 05/19/53,0.000000000000000,0.000000000000000,0.000000000000000,0.00000,0.00000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-220.8333,0.0000,-220.8333
08/21/2023,66TX0040,TX26,USD,Corporate Bonds,,75513ECR0,BQS6Q47,RAYTHEON TECHNOLOGIES CORP 5.150% 02/27/33,0.000000000000000,0.000000000000000,0.000000000000000,0.00000,0.00000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-143.0556,0.0000,-143.0556
08/21/2023,66TX0040,TX26,USD,Corporate Bonds,,80282KBG0,BQWPDY9,SANTANDER HLDGS USA INC SR NT FIXED/FLTG,0.000000000000000,0.000000000000000,0.000000000000000,0.00000,0.00000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-547.0833,0.0000,-547.0833
